Region,Nationality,Year,Number,,
Central/East Europe,Lithuania,2018,,,
Central/East Europe,Poland,2018,,,
Central/East Europe,Romania,2018,,,
Central/East Europe,Russia,2018,"1,466,457",,
Central/East Europe,Slovakia,2018,,,
Central/East Europe,Ukraine,2018,,,
Central/East Europe,Uzbekistan,2018,,,
South/Medit Europe,Croatia,2018,,,
South/Medit Europe,Cyprus,2018,,,
South/Medit Europe,Greece,2018,,,
Middle East,Israel,2018,"185,366",,
South/Medit Europe,Italy,2018,"263,515",,
South/Medit Europe,Portugal,2018,,,
South/Medit Europe,Serbia,2018,,,
South/Medit Europe,Slovenia,2018,,,
South/Medit Europe,Spain,2018,"176,597",,
South/Medit Europe,Turkey,2018,,,
Europe,East  Europe,2018,"487,669",,
Europe,Other Europe,2018,"232,147",,
America,Canada,2018,"252,763",,
America,Mexico,2018,,,
America,USA,2018,"1,096,177",,
America,Argentina,2018,"43,485",,
America,Brazil,2018,"57,105",,
America,Chile,2018,,,
America,Colombia,2018,,,
America,Peru,2018,,,
America,Uruguay,2018,,,
America,Other America,2018,"84,478",,
Africa,Morocco,2018,,,
Africa,South Africa,2018,"97,071",,
Africa,Ethiopia,2018,,,
Africa,Kenya,2018,,,
Africa,Mauritius,2018,,,
Africa,Other Afirca,2018,"103,257",,
ASEAN,Brunei,2019,"19,858",,
ASEAN,Cambodia,2019,"925,437",,
ASEAN,Indonesia,2019,"706,908",,
ASEAN,Laos,2019,"1,856,762",,
ASEAN,Malaysia,2019,"4,274,458",,
ASEAN,Myanmar,2019,"389,301",,
ASEAN,Philippines,2019,"473,565",,
ASEAN,Singapore,2019,"1,150,024",,
ASEAN,Vietnam,2019,"1,080,609",,
East Asia,China,2019,"11,138,658",,
East Asia,Hong Kong,2019,"1,090,121",,
East Asia,Japan,2019,"1,787,185",,
East Asia,North Korea,2019,,,
East Asia,South Korea,2019,"1,880,465",,
East Asia,Macao,2019,,,
East Asia,Mongolia,2019,,,
East Asia,Taiwan,2019,"781,674",,
East Asia,Other East Asia,2019,"114,938",,
South Asia,Bangladesh,2019,"139,622",,
South Asia,Bhutan,2019,,,
South Asia,India,2019,"1,961,069",,
South Asia,Iran,2019,,,
South Asia,Maldives,2019,,,
South Asia,Nepal,2019,"60,428",,
South Asia,Pakistan,2019,"71,917",,
South Asia,Sri  Lanka,2019,"70,247",,
South Asia,Other South Asia,2019,"53,694",,
Asia,Other in Asia,2019,,,
Oceania,Australia,2019,"771,798",,
Oceania,New  Zealand,2019,"93,740",,
Oceania,Other Oceania,2019,"8,616",,
Middle East,Bahrain,2019,,,
Middle East,Egypt,2019,"19,010",,
Middle East,Iraq,2019,,,
Middle East,Jordan,2019,,,
Middle East,Kuwait,2019,"84,504",,
Middle East,Lebanon,2019,,,
Middle East,Oman,2019,,,
Middle East,Qatar,2019,,,
Middle East,Saudi  Arabia,2019,"36,783",,
Middle East,U.A.E.,2019,"145,530",,
Middle East,Yemen,2019,,,
Middle East,Other Middle East,2019,"247,410",,
North Europe,Denmark,2019,"159,526",,
North Europe,Finland,2019,"125,490",,
North Europe,Iceland,2019,,,
North Europe,Ireland,2019,,,
North Europe,Norway,2019,"130,509",,
North Europe,Sweden,2019,"279,451",,
North Europe,United  Kingdom,2019,"946,774",,
West Europe,Austria,2019,"110,690",,
West Europe,Belgium,2019,"114,016",,
West Europe,France,2019,"713,405",,
West Europe,Germany,2019,"836,926",,
West Europe,Luxembourg,2019,,,
West Europe,Netherlands,2019,"230,006",,
West Europe,Switzerland,2019,"206,087",,
Central/East Europe,Belarus,2019,,,
Central/East Europe,Bulgaria,2019,,,
Central/East Europe,Czech Republic,2019,,,
Central/East Europe,Estonia,2019,,,
Central/East Europe,Hungary,2019,,,
Central/East Europe,Kazakhstan,2019,,,
Central/East Europe,Kyrgyzstan,2019,,,
Central/East Europe,Latvia,2019,,,
Central/East Europe,Lithuania,2019,,,
Central/East Europe,Poland,2019,,,
Central/East Europe,Romania,2019,,,
Central/East Europe,Russia,2019,"1,481,837",,
Central/East Europe,Slovakia,2019,,,
Central/East Europe,Ukraine,2019,,,
Central/East Europe,Uzbekistan,2019,,,
South/Medit Europe,Croatia,2019,,,
South/Medit Europe,Cyprus,2019,,,
South/Medit Europe,Greece,2019,,,
Middle East,Israel,2019,"194,081",,
South/Medit Europe,Italy,2019,"250,870",,
South/Medit Europe,Portugal,2019,,,
South/Medit Europe,Serbia,2019,,,
South/Medit Europe,Slovenia,2019,,,
South/Medit Europe,Spain,2019,"186,969",,
South/Medit Europe,Turkey,2019,,,
Europe,East  Europe,2019,"532,911",,
Europe,Other Europe,2019,"225,753",,
America,Canada,2019,"252,574",,
America,Mexico,2019,,,
America,USA,2019,"1,136,210",,
America,Argentina,2019,"28,183",,
America,Brazil,2019,"58,970",,
America,Chile,2019,,,
America,Colombia,2019,,,
America,Peru,2019,,,
America,Uruguay,2019,,,
America,Other America,2019,"83,863",,
Africa,Morocco,2019,,,
Africa,South Africa,2019,"89,750",,
Africa,Ethiopia,2019,,,
Africa,Kenya,2019,,,
Africa,Mauritius,2019,,,
Africa,Other Afirca,2019,"107,069",,
ASEAN,Brunei,2020,"2,444",,
ASEAN,Cambodia,2020,"164,270",,
ASEAN,Indonesia,2020,"96,993",,
ASEAN,Laos,2020,"382,246",,
ASEAN,Malaysia,2020,"612,922",,
ASEAN,Myanmar,2020,"54,941",,
ASEAN,Philippines,2020,"68,359",,
ASEAN,Singapore,2020,"132,511",,
ASEAN,Vietnam,2020,"131,308",,
East Asia,China,2020,"1,302,137",,
East Asia,Hong Kong,2020,"131,988",,
East Asia,Japan,2020,"314,044",,
East Asia,North Korea,2020,,,
East Asia,South Korea,2020,"262,313",,
East Asia,Macao,2020,,,
East Asia,Mongolia,2020,,,
East Asia,Taiwan,2020,"114,275",,
East Asia,Other East Asia,2020,"15,299",,
South Asia,Bangladesh,2020,"22,913",,
South Asia,Bhutan,2020,,,
South Asia,India,2020,"265,223",,
South Asia,Iran,2020,,,
South Asia,Maldives,2020,,,
South Asia,Nepal,2020,"10,396",,
South Asia,Pakistan,2020,"11,519",,
South Asia,Sri  Lanka,2020,"8,375",,
South Asia,Other South Asia,2020,"8,462",,
Asia,Other in Asia,2020,,,
Oceania,Australia,2020,"123,743",,
Oceania,New  Zealand,2020,"13,773",,
Oceania,Other Oceania,2020,"1,458",,
Middle East,Bahrain,2020,,,
Middle East,Egypt,2020,"3,084",,
Middle East,Iraq,2020,,,
Middle East,Jordan,2020,,,
Middle East,Kuwait,2020,"11,149",,
Middle East,Lebanon,2020,,,
Middle East,Oman,2020,,,
Middle East,Qatar,2020,,,
Middle East,Saudi  Arabia,2020,"6,372",,
Middle East,U.A.E.,2020,"9,550",,
Middle East,Yemen,2020,,,
Middle East,Other Middle East,2020,"25,507",,
North Europe,Denmark,2020,"62,962",,
North Europe,Finland,2020,"57,927",,
North Europe,Iceland,2020,,,
North Europe,Ireland,2020,,,
North Europe,Norway,2020,"39,082",,
North Europe,Sweden,2020,"108,921",,
North Europe,United  Kingdom,2020,"215,861",,
West Europe,Austria,2020,"34,599",,
West Europe,Belgium,2020,"25,872",,
West Europe,France,2020,"231,614",,
West Europe,Germany,2020,"231,260",,
West Europe,Luxembourg,2020,,,
West Europe,Netherlands,2020,"50,441",,
West Europe,Switzerland,2020,"54,006",,
Central/East Europe,Belarus,2020,,,
Central/East Europe,Bulgaria,2020,,,
Central/East Europe,Czech Republic,2020,,,
Central/East Europe,Estonia,2020,,,
Central/East Europe,Hungary,2020,,,
Central/East Europe,Kazakhstan,2020,,,
Central/East Europe,Kyrgyzstan,2020,,,
Central/East Europe,Latvia,2020,,,
Central/East Europe,Lithuania,2020,,,
Central/East Europe,Poland,2020,,,
Central/East Europe,Romania,2020,,,
Central/East Europe,Russia,2020,"586,381",,
Central/East Europe,Slovakia,2020,,,
Central/East Europe,Ukraine,2020,,,
Central/East Europe,Uzbekistan,2020,,,
South/Medit Europe,Croatia,2020,,,
South/Medit Europe,Cyprus,2020,,,
South/Medit Europe,Greece,2020,,,
Middle East,Israel,2020,"29,568",,
South/Medit Europe,Italy,2020,"58,327",,
South/Medit Europe,Portugal,2020,,,
South/Medit Europe,Serbia,2020,,,
South/Medit Europe,Slovenia,2020,,,
South/Medit Europe,Spain,2020,"26,499",,
South/Medit Europe,Turkey,2020,,,
Europe,East  Europe,2020,"211,106",,
Europe,Other Europe,2020,"56,880",,
America,Canada,2020,"55,984",,
America,Mexico,2020,,,
America,USA,2020,"208,608",,
America,Argentina,2020,"12,461",,
America,Brazil,2020,"18,200",,
America,Chile,2020,,,
America,Colombia,2020,,,
America,Peru,2020,,,
America,Uruguay,2020,,,
America,Other America,2020,"15,997",,
Africa,Morocco,2020,,,
Africa,South Africa,2020,"9,692",,
Africa,Ethiopia,2020,,,
Africa,Kenya,2020,,,
Africa,Mauritius,2020,,,
Africa,Other Afirca,2020,"15,371",,
ASEAN,Brunei,2021,48,,
ASEAN,Cambodia,2021,"5,535",,
ASEAN,Indonesia,2021,"3,702",,
ASEAN,Laos,2021,"1,016",,
ASEAN,Malaysia,2021,"6,988",,
ASEAN,Myanmar,2021,"9,110",,
ASEAN,Philippines,2021,"2,859",,
ASEAN,Singapore,2021,"7,268",,
ASEAN,Vietnam,2021,"2,123",,
East Asia,China,2021,"26,558",,
East Asia,Hong Kong,2021,"2,365",,
East Asia,Japan,2021,"24,382",,
East Asia,North Korea,2021,,,
East Asia,South Korea,2021,"14,800",,
East Asia,Macao,2021,,,
East Asia,Mongolia,2021,,,
East Asia,Taiwan,2021,"3,819",,
East Asia,Other East Asia,2021,"2,628",,
South Asia,Bangladesh,2021,"2,202",,
South Asia,Bhutan,2021,,,
South Asia,India,2021,"10,864",,
South Asia,Iran,2021,,,
South Asia,Maldives,2021,,,
South Asia,Nepal,2021,740,,
South Asia,Pakistan,2021,"1,715",,
South Asia,Sri  Lanka,2021,825,,
South Asia,Other South Asia,2021,"2,078",,
Asia,Other in Asia,2021,,,
Oceania,Australia,2021,"10,920",,
Oceania,New  Zealand,2021,"1,160",,
Oceania,Other Oceania,2021,353,,
Middle East,Bahrain,2021,,,
Middle East,Egypt,2021,595,,
Middle East,Iraq,2021,,,
